Rank,Entity,Continent,Overall life expectancy at birth,Male life expectancy at birth,Female life expectancy at birth
134, Marshall Islands,Australia,73.1,70.9,75.4
135, Palau,Australia,73.1,69.9,76.5
136, Federated States of Micronesia,Australia,72.9,70.8,75
137, Trinidad and Tobago,North America,72.9,69.9,75.9
138, Belarus,Europe,72.7,67.2,78.6
139, Egypt,Africa,72.7,71.4,74.2
140, Fiji,Australia,72.7,70,75.5
141, Indonesia,Asia,72.7,67.3,69.8
142, Azerbaijan,Asia,72.5,69.5,75.8
143, Greenland ( Denmark),Europe,72.4,69.7,75.2
144, The Bahamas,North America,72.4,70,74.8
145, Guatemala,North America,72.3,70.3,74.4
146, Suriname,South America,72.2,69.8,74.8
147, Cabo Verde,Africa,72.1,69.8,74.5
148, Ukraine,Europe,71.8,67.1,76.9
149, Iran,Asia,71.4,69.8,73.1
150, Honduras,North America,71.1,69.5,72.8
151, Kazakhstan,Asia,70.8,65.6,75.7
152, Kyrgyzstan,Asia,70.7,66.5,75.1
153, Moldova,Europe,70.7,66.9,74.8
154,   Nepal,Asia,70.7,70.1,71.3
155, North Korea,Asia,70.4,66.6,74.5
156, Russia,Europe,70.3,64.3,76.4
157, Bhutan,Asia,70.1,69.1,71.1
158, Turkmenistan,Asia,70.1,67.1,73.3
159, Mongolia,Asia,69.6,65.4,74.1
160, Bolivia,South America,69.2,66.4,72.1
161, Philippines,Asia,69.2,65.7,72.9
162, Belize,North America,68.7,67.2,70.4
163, India,Asia,68.5,67.3,69.8
164, Guyana,South America,68.4,65.4,71.5
165, Timor-Leste,Asia,68.1,66.5,69.7
166, Pakistan,Asia,67.7,65.8,69.8
167, Tajikistan,Asia,67.7,64.6,71
168, Papua New Guinea,Australia,67.2,65,69.5
169, Nauru,Australia,67.1,63,70.5
170, Burma,Asia,66.6,64.2,69.2
171, Ghana,Africa,66.6,64.1,69.1
172, Tuvalu,Australia,66.5,64.3,68.8
173, Kiribati,Australia,66.2,63.7,68.8
174, Madagascar,Africa,65.9,64.4,67.4
175, Yemen,Asia,65.5,63.4,67.8
176, Togo,Africa,65,62.3,69.7
177, Eritrea,Africa,64.9,62.4,67.5
178, São Tomé and Príncipe,Africa,64.9,63.6,66.3
179, The Gambia,Africa,64.9,62.5,67.3
180, Cambodia,Asia,64.5,62,67.1
181, Laos,Asia,64.3,62.2,66.4
182, Comoros,Africa,64.2,61.9,66.6
183, Equatorial Guinea,Africa,64.2,63.1,65.4
184, Sudan,Africa,64.1,62,66.3
185, Kenya,Africa,64,62.6,65.5
186, Haiti,North America,63.8,61.2,66.4
187, Namibia,Africa,63.6,62.1,65.1
188, Djibouti,Africa,63.2,60.7,65.8
189, South Africa,Africa,63.1,61.6,64.6
190,Western Sahara,Africa,63,60.7,65.4
191, Mauritania,Africa,63,60.7,65.4
192, Ethiopia,Africa,62.2,59.8,64.7
193, Tanzania,Africa,62.2,60.8,63.6
194, Benin,Africa,61.9,60.5,63.3
195, Senegal,Africa,61.7,59.7,63.8
196, Malawi,Africa,61.2,59.2,63.2
197, Guinea,Africa,60.6,59,62.2
198, Burundi,Africa,60.5,58.8,62.3
199, Rwanda,Africa,60.1,58.5,61.7
200, Republic of the Congo,Africa,59.3,58.1,60.6
201, Liberia,Africa,59,57.3,60.8
202, Côte d'Ivoire,Africa,58.7,57.5,59.9
203, Cameroon,Africa,58.5,57.1,59.9
204, Sierra Leone,Africa,58.2,55.6,60.9
205, Zimbabwe,Africa,58,57.3,58.7
206, Democratic Republic of the Congo,Africa,57.3,55.8,58.9
207, Angola,Africa,56,54.8,57.2
208, Mali,Africa,55.8,53.9,57.7
209, Burkina Faso,Africa,55.5,53.4,57.6
210, Niger,Africa,55.5,54.3,56.8
211, Uganda,Africa,55.4,54,56.9
212, Botswana,Africa,54.5,56.3,52.6
213, Nigeria,Africa,53.4,52.4,54.5
214, Mozambique,Africa,53.3,52.6,54.1
215, Lesotho,Africa,53,52.9,53.1
216, Zambia,Africa,52.5,50.8,54.1
217, Somalia,Africa,52.4,50.3,54.5
218, Central African Republic,Africa,52.3,51,53.7
219, Gabon,Africa,52.1,51.6,52.5
220, Swaziland,Africa,51.6,52.2,51
221, Afghanistan,Asia,51.3,49.9,52.7
222, Guinea-Bissau,Africa,50.6,48.6,52.7
223, Chad,Africa,50.2,49,51.3
